week,campaign_type,primary_search_strategy,spend,impressions,clicks,attributed_sales,sales,imp_spend,click_spend,attr_spend
2018-06-03,sponsoredBrands,Branded,3979.63,46487,1649,21971.74,662170.37,11.6812367,0.414360129,5.521050952
2018-06-03,sponsoredBrands,Category,1584.37,41081,444,1499.87,662170.37,25.92891812,0.280237571,0.946666498
2018-06-03,sponsoredBrands,Competitive,53.03,6165,42,30.18,662170.37,116.25495,0.792004526,0.569111823
2018-06-03,sponsoredProducts,Auto,3800.92,2416813,1866,4964.76,662170.37,635.8494785,0.490933774,1.306199552
2018-06-03,sponsoredProducts,Branded,13325.53,730752,8278,83669.83,662170.37,54.83849423,0.621213565,6.278911983
2018-06-03,sponsoredProducts,Category,13266.25,1699662,4163,17901.5,662170.37,128.11925,0.313803825,1.349401677
2018-06-03,sponsoredProducts,Competitive,2680.83,645454,868,2762.48,662170.37,240.766479,0.323780322,1.030456985
2018-06-10,sponsoredBrands,Branded,3681.09,45065,1496,20744.28,652171.79,12.2422978,0.406401365,5.635363439
2018-06-10,sponsoredBrands,Category,1481.13,39458,413,1447.1,652171.79,26.64047045,0.278841155,0.977024299
2018-06-10,sponsoredBrands,Competitive,10.77,3144,17,42.77,652171.79,291.9220056,1.578458682,3.971216342
2018-06-10,sponsoredProducts,Auto,3755.61,2890748,2557,6206.16,652171.79,769.7146402,0.680848118,1.652503854
2018-06-10,sponsoredProducts,Branded,12097.4,671687,7689,82145.85,652171.79,55.52325293,0.635591119,6.790372311
2018-06-10,sponsoredProducts,Category,11486.55,1511637,3673,19129.67,652171.79,131.6006111,0.319765291,1.665397356
2018-06-10,sponsoredProducts,Competitive,1719,376960,558,2021.62,652171.79,219.290285,0.32460733,1.176044212
2018-06-17,sponsoredBrands,Branded,1218.54,7855,337,7196.14,668735.46,6.446238942,0.276560474,5.905542699
2018-06-17,sponsoredBrands,Category,831.91,8741,202,2029.75,668735.46,10.50714621,0.242814728,2.439867293
2018-06-17,sponsoredBrands,Competitive,10.52,1712,13,14.19,668735.46,162.7376426,1.235741445,1.348859316
2018-06-17,sponsoredProducts,Auto,1006.12,554090,1543,14489.91,668735.46,550.7195961,1.533614281,14.40177116
2018-06-17,sponsoredProducts,Branded,3524.47,216276,1963,21576.2,668735.46,61.36412,0.556963175,6.121828247
2018-06-17,sponsoredProducts,Category,2357.43,297258,1019,8831.59,668735.46,126.094094,0.432250374,3.746278787
2018-06-17,sponsoredProducts,Competitive,882.12,205627,315,1019.87,668735.46,233.1054732,0.357094273,1.156157892
2018-06-24,sponsoredBrands,Branded,2712.99,29718,932,10868.49,697074.12,10.95396592,0.343532413,4.006092909
2018-06-24,sponsoredBrands,Category,1086.46,20086,297,1705.84,697074.12,18.48756512,0.273364873,1.570090017
2018-06-24,sponsoredBrands,Competitive,15.89,5283,27,61.29,697074.12,332.4732536,1.699181875,3.857142857
2018-06-24,sponsoredProducts,Auto,1050.54,964507,1397,6431.63,697074.12,918.1059265,1.329792297,6.122213338
2018-06-24,sponsoredProducts,Branded,10905.12,542051,6400,64299.49,697074.12,49.70610135,0.586880291,5.896266158
2018-06-24,sponsoredProducts,Category,6879.01,970468,2314,12462.45,697074.12,141.0766956,0.336385614,1.811663306
2018-06-24,sponsoredProducts,Competitive,1270.05,353753,474,1370.53,697074.12,278.5347034,0.373213653,1.079114995
2018-07-01,sponsoredBrands,Branded,4720.58,40895,1582,19759.47,605821.35,8.663130378,0.335128311,4.185814031
2018-07-01,sponsoredBrands,Category,924.76,20045,234,925.73,605821.35,21.67589429,0.253038626,1.001048921
2018-07-01,sponsoredBrands,Competitive,24.25,4799,22,28.18,605821.35,197.8969072,0.907216495,1.162061856
2018-07-01,sponsoredProducts,Auto,822.89,793389,1076,4148.17,605821.35,964.1495218,1.307586676,5.04097753
2018-07-01,sponsoredProducts,Branded,9024.48,520385,5543,58108.98,605821.35,57.66371026,0.614218215,6.439039147
2018-07-01,sponsoredProducts,Category,8734.4,1071400,3015,18964.04,605821.35,122.6644074,0.345186847,2.171189778
2018-07-01,sponsoredProducts,Competitive,1168.17,289224,410,1370.43,605821.35,247.5872519,0.350976313,1.173142608
2018-07-08,sponsoredBrands,Branded,1690.94,24097,877,11552.66,679203.68,14.25065348,0.518646433,6.832093392
2018-07-08,sponsoredBrands,Category,1561.59,27421,330,1412.51,679203.68,17.55966675,0.211323075,0.9045332
2018-07-08,sponsoredBrands,Competitive,16.26,5093,13,28.98,679203.68,313.2226322,0.799507995,1.782287823
2018-07-08,sponsoredProducts,Auto,746.57,668258,1067,4060.38,679203.68,895.1042769,1.429202888,5.438713048
2018-07-08,sponsoredProducts,Branded,7081.86,507372,5285,56406.25,679203.68,71.64389016,0.746272872,7.964891992
2018-07-08,sponsoredProducts,Category,17244.5,2282546,5687,39393.02,679203.68,132.3637102,0.329786309,2.284381687
2018-07-08,sponsoredProducts,Competitive,1236.48,434149,444,1081.82,679203.68,351.1168802,0.359083851,0.874919125
2018-07-15,sponsoredBrands,Branded,745.35,24695,603,7453.89,775111.93,33.1320856,0.809015899,10.00052324
2018-07-15,sponsoredBrands,Category,1549.32,30946,306,1456.3,775111.93,19.97392404,0.197506003,0.939960757
2018-07-15,sponsoredProducts,Auto,940.69,869005,1321,4209.56,775111.93,923.7952992,1.404288342,4.4749705
2018-07-15,sponsoredProducts,Branded,8562.17,685729,6009,63788.27,775111.93,80.0882253,0.70180807,7.450012088
2018-07-15,sponsoredProducts,Category,24800.8,4123915,8160,56675.41,775111.93,166.2815312,0.329021644,2.285225073
2018-07-15,sponsoredProducts,Competitive,1551.77,735034,537,1919.64,775111.93,473.6745781,0.346056439,1.237064771
2018-07-22,sponsoredBrands,Branded,847.59,24893,622,6872.46,700143.26,29.36915254,0.733845373,8.108236293
2018-07-22,sponsoredBrands,Category,1298.61,24092,279,1335.37,700143.26,18.55214422,0.214845104,1.02830719
2018-07-22,sponsoredProducts,Auto,2785.07,1541154,1779,4452.5,700143.26,553.3627521,0.638763119,1.598703085
2018-07-22,sponsoredProducts,Branded,6257.97,830008,5154,48845.62,700143.26,132.6321475,0.823589758,7.805345823
2018-07-22,sponsoredProducts,Category,26721.7,4185826,8539,52671.81,700143.26,156.6451985,0.319553022,1.971124966
2018-07-22,sponsoredProducts,Competitive,1280.13,499561,461,1428.68,700143.26,390.2423973,0.360119675,1.116042902
2018-07-29,sponsoredBrands,Branded,724.41,20110,505,5548.06,669448.55,27.76052236,0.697119035,7.658729173
2018-07-29,sponsoredBrands,Category,859.92,17068,207,1222.17,669448.55,19.84835799,0.240720067,1.421260117
