DATE,atl_spend,atl_impressions,instacart_spend,instacart_impressions,kroger_spend,kroger_impressions,walmart_spend,walmart_impressions,impressions,revenue
2020-07-05,,,5374.45,930832,,,,,930832,30179.13
2020-07-12,,,12369.11,2546231,,,,,2546231,54686.64
2020-07-19,,,8801.69,2798346,,,,,2798346,31797.43
2020-07-26,,,10454.89,2470096,,,,,2470096,43992.43
2020-08-02,,,12800.1,2552375,,,,,2552375,63216.44
2020-08-09,,,0,29,,,,,29,0
2020-09-13,,,8980.1,1141287,,,,,1141287,36908.88
2020-09-20,,,11166.82,1642746,,,,,1642746,45454.48
2020-09-27,,,11550.49,1653025,,,,,1653025,44302.91
2020-10-04,,,11695.71,1621085,,,,,1621085,47698.76
2020-10-11,,,11586.81,1664700,,,,,1664700,44277.61
2020-10-18,,,11620.33,1704077,,,,,1704077,41854.57
2020-10-25,,,11585.45,1851064,,,,,1851064,42957.68
2020-11-01,,,12364.69,1911108,,,,,1911108,43068.98
2020-11-08,,,15016.34,2208979,,,,,2208979,51290.32
2020-11-15,,,22485.95,3259029,,,,,3259029,82560.99
2020-11-22,,,21742.04,3109243,,,,,3109243,81471.09
2020-11-29,,,21645.64,2940030,,,,,2940030,86646.87
2020-12-06,,,29574.45,3714458,,,,,3714458,131128.56
2020-12-13,,,7422.9,892446,,,,,892446,35809.94
2020-12-20,,,4257.24,551904,,,,,551904,22649.76
2020-12-27,,,2304.97,271734,,,,,271734,13403
2021-11-07,,,863.344,53959,,,,,53959,23426.38
2021-11-14,,,3752.764,218638,,,,,218638,86603.99
2021-11-21,,,6008.238,333791,,,,,333791,77999.03
2021-11-28,,,6877.541,377737,,,,,377737,120484.69
2021-12-05,,,4920.221,258959,,,,,258959,75199.49
2021-12-12,,,7285.79,341003,,,,,341003,86890.41
2021-12-19,,,7415.914,337087,,,,,337087,91286.03
2021-12-26,,,9138.976,415408,,,,,415408,134489.95
2022-01-02,,,9113.566,425962,,,,,425962,126367.35
2022-01-09,,,8691.642,414345,,,,,414345,102686.17
2022-01-16,,,7959.525,384708,,,,,384708,82300.3
2022-01-23,,,6686.799,327516,,,,,327516,43044.91
2022-01-30,,,1285.662,76328,,,,,76328,8478.69
2022-08-21,0,0,,,,,,,0,
2022-08-28,0,128,,,,,,,128,
2022-09-04,13845.28213,1801437,,,,,,,1801437,
2022-09-11,39736.39956,5313039,,,,,,,5313039,
2022-09-18,61737.54006,14617576,0,0,,,,,14617576,0
