"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","df.int","iterations","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",614863.083380291,121742890.509298,0.340402546431494,614863.083380291,0.217838069870514,121742890.509298,0.340402546431494,614863.083380291,0.217838069870514,TRUE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,NA,NA,NA,NA,NA
"2","trend",0.173761905806361,61874546.1877711,0.173006021078511,312497.708019046,0.110713912404016,61874546.1877711,0.173006021078511,312497.708019046,0.110713912404016,TRUE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,NA,NA,NA,NA,NA
"3","season",0.309461821923821,-2356623.0060749,-0.0065893003598898,-11902.1363943177,-0.00421677360302694,-2356623.0060749,-0.0065893003598898,-11902.1363943177,-0.00421677360302694,FALSE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,NA,NA,NA,NA,NA
"4","holiday",0.734761988334934,2100015.7930229,0.00587180672728281,55263.5735006026,0.0195791721944588,2100015.7930229,0.00587180672728281,55263.5735006026,0.0195791721944588,TRUE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.115165327919003,124216265.245395,0.347318293666711,627354.874976743,0.22226375071581,124216265.245395,0.347318293666711,627354.874976743,0.22226375071581,TRUE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,NA,NA,NA,NA,NA
"6","events",0.672658625979174,1963088.69908424,0.00548894797259746,981544.349542118,0.347748518940303,1963088.69908424,0.00548894797259746,981544.349542118,0.347748518940303,TRUE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,NA,NA,NA,NA,NA
"7","tv_S",320573.436890979,14373505.022975,0.0401894327504317,72593.4597119952,0.0257189276382418,14373505.022975,0.0401894327504317,72593.4597119952,0.0257189276382418,TRUE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,21871508.1,254319.861627907,0.342296512761419,0.341861129717121,0.0401997585890421,0.657179420699163,1.52165446528456,10223.5970418404,0.17960149262035,2,TRUE,0.600161696595261,0.00710505744350078,0.505041251438664,0.695133122660817,0.555028647937318
"8","ooh_S",212778.805860084,10531615.9868569,0.0294472135906034,53189.9797316006,0.0188445246338155,10531615.9868569,0.0294472135906034,53189.9797316006,0.0188445246338155,TRUE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,15661807,190997.646341463,0.245112586435792,0.250485190164743,0.486190451302222,0.672439392648429,1.48712287074893,92861.2318724183,0.170333644287894,2,TRUE,0.640539081307268,0.0139188633764839,0.454393430088924,0.826784899906185,0.534448874226396
"9","print_S",245551.575966974,3089790.76393468,0.00863929416809398,15605.003858256,0.00552865184573443,3089790.76393468,0.00863929416809398,15605.003858256,0.00552865184573443,TRUE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,5084592.32,62772.744691358,0.0795755926839583,0.0734879460131575,0.0160466852055599,0.607677188155507,1.6456105634561,1007.2944735512,0.0556319302462498,2,TRUE,0.678574086342274,0.0186445493362042,0.429417933019047,0.928242509680955,0.453698200154515
"10","facebook_S",158008.207010537,8077057.70765732,0.0225840786255252,40793.2207457441,0.014452512618258,8077057.70765732,0.0225840786255252,40793.2207457441,0.014452512618258,TRUE,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_138_7",1,138,7,1,2199,3,12302572.72,135193.106813187,0.192539431702461,0.192105688091838,0.00463679371363723,0.656534034911791,1.52315028136257,626.862547798471,0.0359142591867112,2,TRUE,0.533223717914483,0.0142828367341774,0.341967863737473,0.724097238869242,0.439546853635428
