"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","df.int","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",7.7761521,0.4368925,0.6729939,6.4756485,0.4816099,0.3787038,0.62164235,0.306307,0.2397942,3.4810922,0.9962425,0.7547463,7.8350078,0.574813,0.7027713,4.6148721,0.3479788,0.6765759,0.7527338,0.878202348462105,0.937511194705203,0.962114094672783,0.0779939743811884,0.331995288168655,0.317665742451741,0.331995288168655,0.00829527564600469,0,178867.282799294,0.00263185,65481090.2648517,1e-04,0,0.268324613571167,233.588674783707,"1_138_7",1,138,7,1,2199,FALSE,TRUE,3,34.7950758425459,2,TRUE
"2",7.7761521,0.4305079,0.6899598,6.3336846,0.4687561,0.4890429,0.95224353,0.321868,0.4147812,3.6312352,0.9876718,0.7625538,7.8350078,0.574813,0.7027713,4.6148721,0.3479788,0.6765759,0.7527338,0.878217197241767,0.938305203646911,0.962676454617607,0.0779892199765445,0.329879309436257,0.315299290145063,0.329879309436257,0.00939063886906176,0,178867.282799294,0.00263185,65481090.2648517,1e-04,0,0.250699520111084,239.081586360931,"1_142_3",1,142,3,1,2259,FALSE,TRUE,3,35.2187891532666,2,FALSE
"3",6.8289073,0.413659,0.5970843,8.9182001,0.3472831,0.6688908,1.1324267,0.3329911,0.5016006,3.8323841,0.9537652,0.8010882,7.6278158,0.5828941,0.7158033,4.2764763,0.3487888,0.6701328,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,0,0.333235263824463,241.024435520172,"1_143_10",1,143,10,1,2282,FALSE,TRUE,3,39.2490096265319,2,FALSE
"4",7.7761521,0.4368925,0.6729939,7.062381,0.4560436,0.3680442,0.61632638,0.3073996,0.2386809,3.3286619,0.9982657,0.7567821,8.3430643,0.5496229,0.7027713,4.6148721,0.3479788,0.6765759,0.7527338,0.878355955679931,0.937895362453952,0.962753543104273,0.0779447771389656,0.330973196997637,0.314973510422123,0.330973196997637,0.00676665891248751,0,178867.282799294,0.00263185,65481090.2648517,1e-04,0,0.524301290512085,245.24285030365,"1_145_15",1,145,15,1,2319,FALSE,TRUE,1,35.0189770412262,2,FALSE
"5",3.7019635,0.4643479,0.5692707,6.6237712,0.4068883,0.5686947,0.9900534,0.3241009,0.4217481,3.7704134,0.9592624,0.7975962,7.1914399,0.6373603,0.7429455,4.2606699,0.3569707,0.6640695,0.7391252,0.883053732389148,0.943003159933044,0.963774110400991,0.076432814718062,0.323624392005442,0.327927974106814,0.323624392005442,0.0128668302138233,0,119953.944512904,0.00173206,65481090.2648517,1e-04,0,0.326782464981079,248.018429279327,"1_147_11",1,147,11,1,2347,FALSE,TRUE,3,36.4789374685512,2,FALSE
"6",7.7761521,0.4368925,0.6729939,7.062381,0.4560436,0.3680442,0.61632638,0.3127096,0.2386809,3.3286619,0.9982657,0.7567821,8.3430643,0.5496229,0.7027713,4.6148721,0.3479788,0.6765759,0.7527338,0.878350639377736,0.937865912787485,0.962745647110855,0.0779464803602977,0.331051660502306,0.31500689476493,0.331051660502306,0.00600583312912141,0,178867.282799294,0.00263185,65481090.2648517,1e-04,0,0.356842756271362,248.231389760971,"1_147_13",1,147,13,1,2349,FALSE,TRUE,1,35.0041806606641,2,FALSE
"7",6.8289073,0.413659,0.6366276,8.1361927,0.3386044,0.6746598,1.1082721,0.3311812,0.5329836,3.883301,0.9361207,0.8617284,7.4214159,0.5899285,0.7508484,4.8912527,0.3372319,0.675531,0.7629548,0.892167297381804,0.977219471470635,0.981238013194603,0.0733321055922112,0.197875303692769,0.214368708712908,0.197875303692769,0.101890354733391,0,7799.2031254529,1.91081e-05,65481090.2648517,1e-04,0,0.249066352844238,253.662496805191,"1_151_2",1,151,2,1,2402,FALSE,TRUE,2,29.1200555703303,3,TRUE
"8",6.0717398,0.3891115,0.5567877,7.9629186,0.2672524,0.724383,1.1773361,0.3354661,0.5702544,3.6076057,0.92386,0.8892117,7.871213,0.5864032,0.7583337,5.6149473,0.3068965,0.675531,0.7629548,0.891607819189404,0.981031530155628,0.980707070111015,0.0735220972809264,0.180561787601098,0.217380744510947,0.180561787601098,0.147539643286749,0,7799.2031254529,1.91081e-05,65481090.2648517,1e-04,0,0.4407799243927,259.147431612015,"1_154_14",1,154,14,1,2462,FALSE,TRUE,1,19.9937631673654,2,FALSE
"9",2.8753938,0.2953927,0.4335228,7.4378097,0.3217447,0.4639437,0.80693412,0.2616796,0.4647501,5.8769366,0.13074445,0.291123,8.5301957,0.3881215,0.5232177,3.8854815,0.5349061,0.7506531,0.6194279,0.870510496425314,0.955138928533671,0.945636976517448,0.0808940297372372,0.334507269143705,0.43487696038556,0.334507269143705,0.00726153039813258,0,78899.4423449368,0.00110503,65481090.2648517,1e-04,0,0.322327613830566,178.254973649979,"2_108_5",2,108,5,1,1717,FALSE,TRUE,2,34.2952820441356,2,FALSE
"10",3.7057905,0.2743921,0.2935818,4.5796192,0.3109285,0.5018562,0.87444329,0.2421748,0.4441365,6.7188944,0.5052151,0.3208068,6.4487705,0.3810124,0.5457933,3.7445322,0.6439456,0.7598466,0.6218036,0.873372311542449,0.958259276966558,0.944208451807734,0.0799951260219622,0.322664155446762,0.440553650990963,0.322664155446762,0.013390030331919,0,65942.5542486362,0.000907138,65481090.2648517,1e-04,0,0.334042310714722,186.589619398117,"2_113_11",2,113,11,1,1803,FALSE,TRUE,3,36.6735946960963,3,FALSE
"11",2.4750807,0.3643777,0.3581865,6.4937778,0.3280762,0.4522977,0.88264019,0.2596438,0.4675725,6.7404502,0.5281453,0.3327102,6.5975963,0.3757654,0.5513805,3.5201454,0.6661432,0.7569873,0.6204122,0.872352376586204,0.957988718479729,0.947050497175151,0.0803166441331,0.323708201999181,0.429185994658703,0.323708201999181,0.010383880435976,0,77316.9226610305,0.00108086,65481090.2648517,1e-04,0,0.271389961242676,197.23366522789,"2_120_3",2,120,3,1,1907,FALSE,TRUE,2,36.5445125180381,3,FALSE
"12",2.5306256,0.398143,0.4462911,6.7303665,0.3127447,0.5197851,0.81592134,0.2865151,0.4363956,5.9281828,0.5082265,0.3288996,7.046539,0.3736126,0.5579595,3.5026836,0.6708961,0.7552755,0.6237125,0.871849529333795,0.957636704252415,0.944644171351013,0.0804746858826137,0.325061555022693,0.438829966136514,0.325061555022693,0.0119494451140606,0,80208.9331880533,0.00112503,65481090.2648517,1e-04,0,0.4347984790802,201.705547809601,"2_122_14",2,122,14,1,1950,FALSE,TRUE,3,36.192692231833,3,FALSE
