DATE,display_S,display_I,b_branded_S,b_branded_I,b_category_S,b_category_I,b_competitive_S,b_competitive_I,p_auto_S,p_auto_I,p_brand_S,p_brand_I,p_category_S,p_category_I,p_competitive_S,p_competitive_I,revenue,p_auto_comp_S,p_auto_comp_I,deaths,hospital,positive,lockdown,inflation,gdp
2019-09-15,0,0,359.19,19365,1370.33,361876,0,0,9015.21,3239253,288.99,30839,22150.18,4260466,2216.03,696017,72489.79,11231.24,3935270,0,0,0,0,2.4,21531.839
2019-09-22,0,0,532.33,28630,1589.9,382879,0,0,8735.3,2930675,283.41,27128,18217.93,3554764,2342.96,745853,70143.73,11078.26,3676528,0,0,0,0,2.4,21531.839
2019-09-29,0,0,172.68,8906,262.89,54069,0,0,1111.51,434244,158.13,22139,7049.88,1299238,569.05,214971,32134.51,1680.56,649215,0,0,0,0,2.4,21531.839
2019-10-06,0,0,225.34,10431,358.19,113177,0,0,1658.21,702099,246.74,27782,10190.57,1802702,727.33,268410,42644.96,2385.54,970509,0,0,0,0,2.3,21706.532
2019-10-13,0,0,677.79,36737,559.52,176327,0,0,3632.8,1629834,684.14,69441,16573.46,3723765,1771.68,594825,64717.25,5404.48,2224659,0,0,0,0,2.3,21706.532
2019-10-20,0,0,1036.73,60060,869.67,404522,0,0,5456.95,2796862,1059.45,116938,24336.25,6263968,3327.65,1041152,92047.9,8784.6,3838014,0,0,0,0,2.3,21706.532
2019-10-27,0,0,1109.86,60930,1011.44,484254,0,0,5577.89,3209399,1369.6,141421,22325.55,6242985,3014.41,1001175,87161.78,8592.3,4210574,0,0,0,0,2.3,21706.532
2019-11-03,0,0,715.83,29342,1212.59,496411,0,0,5402.16,2788554,1332.64,150039,17676.79,4566249,2721.05,861515,83591.52,8123.21,3650069,0,0,0,0,2.3,21706.532
2019-11-10,0,0,711.55,31999,1223.95,457104,0,0,5690.16,2969275,1268.85,131234,16601.5,4011087,2576.73,769232,78050.76,8266.89,3738507,0,0,0,0,2.3,21706.532
2019-11-17,0,0,709.93,29323,1082.76,430582,0,0,5113.93,2900820,1158.61,120822,14823.13,3506791,2308.2,704728,70413.62,7422.13,3605548,0,0,0,0,2.3,21706.532
2019-11-24,0,0,698.6,33769,881.92,354681,0,0,4105.82,2560698,1112.49,117591,13469.16,3307017,1996.78,707229,53934.06,6102.6,3267927,0,0,0,0,2.3,21706.532
2019-12-01,0,0,711.26,37955,995.04,488947,0,0,4196.97,2304179,921.99,113619,15151.43,3690401,2188.35,783726,63143.48,6385.32,3087905,0,0,0,0,2.3,21706.532
2019-12-08,0,0,706.04,31527,1069.13,480731,0,0,4390.59,2471712,894.06,100080,15478.25,3834753,2146.24,899820,68167.97,6536.83,3371532,0,0,0,0,2.3,21706.532
