banner_I,blog_I,coupon_I,email_I,banner_S,blog_S,coupon_S,email_S,revenue,DATE,cargill,inflation
62836886.00,11405123.00,183809663.00,15000.00,247331.83,90003.23,447628.45,64000.00,89774827.92,2019-09-30,194,1.538
120592917.00,11405123.00,183809663.00,15000.00,442966.83,90003.23,447628.45,64000.00,111919125.10,2019-10-07,189,1.538
181801495.00,54811539.00,205679120.00,15000.00,648786.40,339515.58,558250.87,64000.00,110607594.50,2019-10-14,194.7,1.538
206085547.00,59584985.00,214955960.00,456667.00,721169.03,370265.58,553719.14,14500.00,108674181.90,2019-10-21,194,1.538
886963849.00,505839713.00,833886179.00,16856395.00,4247910.47,3872465.58,3023477.68,894500.00,359516408.60,2019-10-28,195,1.43
847858815.00,571056542.00,650226824.00,29656395.00,4199107.15,4517212.35,2595977.68,894500.00,290501832.30,2019-11-04,190,1.43
835814129.00,577619165.00,651147309.00,29656395.00,4172618.89,4572212.35,2604232.76,894500.00,307294453.80,2019-11-11,190,1.43
971915574.00,587035706.00,643986779.00,30755062.00,4479393.49,4622212.35,2604409.71,924500.14,350852271.10,2019-11-18,193,1.43
971915574.00,587035706.00,643986779.00,30755062.00,4479393.49,4622212.35,2604409.71,924500.14,484910484.00,2019-11-25,191.1,1.43
971915574.00,593914691.00,643986779.00,30755062.00,4479393.49,4655412.35,2604409.71,924500.14,293759476.50,2019-12-02,198.9,1.45
971044426.00,593914691.00,653057268.00,30755062.00,4477685.34,4655412.35,2611006.76,924500.14,329400435.90,2019-12-09,193.1,1.45
973227720.00,592261088.00,653895333.00,30755062.00,4485732.66,4645412.35,2629919.44,924500.14,396109460.20,2019-12-16,195,1.45
941263568.00,579858607.00,653895333.00,30298395.00,4385583.76,4571012.35,2629919.44,910000.14,542231939.30,2019-12-23,194,1.45
1250778317.00,765971312.00,644167614.00,37048395.00,5837291.91,5040559.92,2622692.39,1315000.14,587748545.40,2019-12-30,198.9,1.409
559131085.00,334391815.00,40183052.00,9919802.00,2234990.32,1031847.57,264283.65,484599.92,228689679.90,2020-01-06,199,1.409
608249983.00,359787836.00,46198455.00,9919802.00,2474637.37,1216447.57,292725.29,484599.92,236255040.40,2020-01-13,190,1.409
595459100.00,361867680.00,45360390.00,9919802.00,2433340.05,1238447.57,273812.61,484599.92,227015404.30,2020-01-20,198,1.409
609431652.00,361867680.00,45857389.00,10157135.00,2507299.09,1238447.57,300026.68,494599.92,236663669.60,2020-01-27,197.8,1.362
603950722.00,366640989.00,47179643.00,8067960.00,2471953.69,1235977.57,292984.39,439999.93,1559306280.00,2020-02-03,190,1.362
