ds,y
6/3/2018,662170.37
6/10/2018,652171.79
6/17/2018,668735.46
6/24/2018,697074.12
7/1/2018,605821.35
7/8/2018,679203.68
7/15/2018,775111.93
7/22/2018,700143.26
7/29/2018,669448.55
8/5/2018,671269.73
8/12/2018,643705.93
8/19/2018,662700.52
8/26/2018,729728.84
9/2/2018,656014.98
9/9/2018,719729.51
9/16/2018,706785.12
9/23/2018,785244.21
9/30/2018,700976.93
10/7/2018,705749.94
10/14/2018,647229.53
10/21/2018,734937.99
10/28/2018,706864.43
11/4/2018,734536.96
11/11/2018,664728.22
11/18/2018,556231.35
11/25/2018,714695.47
12/2/2018,685452.9
12/9/2018,586628.74
12/16/2018,537238.06
12/23/2018,417458.9
12/30/2018,601474.27
1/6/2019,774379.54
1/13/2019,660726.66
1/20/2019,731353.82
1/27/2019,746187.63
2/3/2019,689055.37
2/10/2019,677533.1
2/17/2019,724201.89
2/24/2019,777904.74
3/3/2019,756830.59
3/10/2019,693144.52
3/17/2019,691212.43
3/24/2019,765514.83
3/31/2019,769377.54
4/7/2019,733766.89
4/14/2019,689398.25
4/21/2019,775639.05
4/28/2019,749962.63
5/5/2019,715591.57
5/12/2019,636870.42
5/19/2019,689788.72
5/26/2019,703662.98
6/2/2019,730130.35
6/9/2019,704889
6/16/2019,757315.34
6/23/2019,791654.09
6/30/2019,635156.97
7/7/2019,839096.67
7/14/2019,1289654.16
7/21/2019,732886.68
7/28/2019,719614.85
8/4/2019,712841.36
8/11/2019,784790.46
8/18/2019,815977.82
8/25/2019,877882.7
9/1/2019,788935.56
9/8/2019,869755.27
9/15/2019,847173.74
9/22/2019,916540.3
9/29/2019,868206.22
10/6/2019,875945.53
10/13/2019,808041.33
10/20/2019,847244.65
10/27/2019,858005.72
11/3/2019,863530.29
11/10/2019,854255.66
11/17/2019,797055.92
11/24/2019,948766.85
12/1/2019,913621.85
12/8/2019,826288.57
12/15/2019,650525.24
12/22/2019,437768.28
12/29/2019,641120.87
1/5/2020,912417.3
1/12/2020,808035.52
1/19/2020,970087.09
1/26/2020,910210.7
2/2/2020,862737.6
2/9/2020,847621.29
2/16/2020,838895.33
2/23/2020,1069951.04
3/1/2020,1144151.48
3/8/2020,1266858.73
3/15/2020,1693031
3/22/2020,1469872.99
3/29/2020,1302898.37
4/5/2020,1320594.59
4/12/2020,1124149.54
4/19/2020,1147400.53
4/26/2020,1031940.38
5/3/2020,1084945.95
5/10/2020,982150.48
5/17/2020,985114.23
5/24/2020,922087.14
5/31/2020,894105.19
6/7/2020,949074.4
6/14/2020,868685.69
6/21/2020,928604.3
6/28/2020,883942.06
7/5/2020,943067.85
7/12/2020,884905.72
7/19/2020,854631.01
7/26/2020,878726.18
8/2/2020,902573.03
8/9/2020,888313.23
8/16/2020,827635.39
8/23/2020,903443.31
8/30/2020,927351.82
9/6/2020,867446.93
9/13/2020,856983.27
9/20/2020,974867.11
9/27/2020,911625.58
10/4/2020,962927.57
10/11/2020,1121802.96
10/18/2020,916487.46
10/25/2020,931623.9
11/1/2020,951213.94
11/8/2020,969278.22
11/15/2020,931979.19
11/22/2020,806647.49
11/29/2020,914165.34
12/6/2020,906346.67
12/13/2020,840248.9
12/20/2020,591446.61
12/27/2020,764464.48
1/3/2021,1026877.01
1/10/2021,943056.18
1/17/2021,885951.72
1/24/2021,951847.32
1/31/2021,890866.78
2/7/2021,1670368.66
2/14/2021,1428232.03
2/21/2021,2013326.28
2/28/2021,1933743.03
3/7/2021,1821531.57
3/14/2021,1787801.1
3/21/2021,1795573.85
3/28/2021,1734435.04
4/4/2021,1689659.63
4/11/2021,1678555.59
4/18/2021,1702144.16
4/25/2021,1743006
5/2/2021,1567917.61
5/9/2021,1693604.97
5/16/2021,1656803.65
5/23/2021,1684221.42
5/30/2021,1696073.12
6/6/2021,1641953.65
6/13/2021,1434334.25
6/20/2021,1392591.39
6/27/2021,1483627.33
7/4/2021,1203147.77
7/11/2021,1409161.55
7/18/2021,1346697.33
7/25/2021,1379951.16
8/1/2021,1384793.29
8/8/2021,1427964.01
8/15/2021,1475454.25
8/22/2021,1450405.75
8/29/2021,1505648.6
9/5/2021,1461995.63
9/12/2021,1527922.95
9/19/2021,1575940.52
9/26/2021,1885157.04
10/3/2021,1841315.12
10/10/2021,1716006.96
10/17/2021,1566893.05
10/24/2021,1587348.81
10/31/2021,1764412.66
11/7/2021,1697315.55
11/14/2021,1612654.05
11/21/2021,1242642.27
11/28/2021,1854592.28
12/5/2021,1615549.47
12/12/2021,1711585.76
12/19/2021,898561.87
12/26/2021,1143033.53
1/2/2022,1641738.38
1/9/2022,1737738.39
1/16/2022,1570082.92
1/23/2022,1603378.44
1/30/2022,1697462.16
2/6/2022,1740910.64
2/13/2022,1581863.69
2/20/2022,1647249.87
2/27/2022,1917630.4
