ds,y,yhat1,residual1,yhat2,residual2,yhat3,residual3,yhat4,residual4,yhat5,residual5,yhat6,residual6,yhat7,residual7,yhat8,residual8,yhat9,residual9,yhat10,residual10,yhat11,residual11,yhat12,residual12,yhat13,residual13,yhat14,residual14,yhat15,residual15,yhat16,residual16,ar1,ar2,ar3,ar4,ar5,ar6,ar7,ar8,ar9,ar10,ar11,ar12,ar13,ar14,ar15,ar16,trend,season_yearly,season_weekly,season_daily
2021-10-24,1587348.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-31,1764412.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-07,1697315.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-14,1612654.05,1357803.625,-254850.42500000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-363250.9375,,,,,,,,,,,,,,,,346322.03125,-8571.7568359375,329154.09375,1054150.25
2021-11-21,1242642.27,1417361.5,174719.22999999998,1352360.5,109718.22999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-277901.53125,-342902.5625,,,,,,,,,,,,,,,352432.5625,-40473.8828125,329154.09375,1054150.25
2021-11-28,1854592.28,1344830.0,-509762.28,1379666.0,-474926.28,1305915.5,-548676.78,,,,,,,,,,,,,,,,,,,,,,,,,,,-309303.21875,-274467.09375,-348217.53125,,,,,,,,,,,,,,358543.09375,-87714.3828125,329154.09375,1054150.25
2021-12-05,1615549.47,1319113.25,-296436.22,1279203.125,-336346.345,1308734.25,-306815.22,1331234.625,-284314.845,,,,,,,,,,,,,,,,,,,,,,,,,-291461.28125,-331371.53125,-301840.34375,-279340.0,,,,,,,,,,,,,364653.46875,-137383.25,329154.09375,1054150.25
2021-12-12,1711585.76,1453995.75,-257590.01,1293365.75,-418220.01,1286292.875,-425292.885,1319645.0,-391940.76,1172427.0,-539158.76,,,,,,,,,,,,,,,,,,,,,,,-125803.5078125,-286433.6875,-293506.5625,-260154.390625,-407372.375,,,,,,,,,,,,370764.0,-174269.0625,329154.09375,1054150.25
2021-12-19,898561.87,1310499.875,411938.005,1393272.5,494710.63,1311649.25,413087.38,1266387.375,367825.505,1268397.0,369835.13,1113371.625,214809.755,,,,,,,,,,,,,,,,,,,,,-262258.78125,-179486.125,-261109.421875,-306371.34375,-304361.6875,-459387.0,,,,,,,,,,,376874.53125,-187420.28125,329154.09375,1054150.25
2021-12-26,1143033.53,1217136.5,74102.96999999997,1318461.875,175428.34499999997,1317013.0,173979.46999999997,1206582.25,63548.71999999997,1306847.375,163813.84499999997,1193845.5,50811.96999999997,1163537.875,20504.344999999972,,,,,,,,,,,,,,,,,,,-374453.34375,-273127.9375,-274576.8125,-385007.59375,-284742.5625,-397744.34375,-428051.96875,,,,,,,,,,382985.0625,-174699.625,329154.09375,1054150.25
2022-01-02,1641738.38,1091087.0,-550651.3799999999,1144594.25,-497144.1299999999,1361383.0,-280355.3799999999,1319528.25,-322210.1299999999,1357770.625,-283967.7549999999,1273029.0,-368709.3799999999,1264918.625,-376819.7549999999,1197622.25,-444116.1299999999,,,,,,,,,,,,,,,,,-538196.1875,-484688.90625,-267900.09375,-309754.875,-271512.46875,-356254.1875,-364364.625,-431660.9375,,,,,,,,,389095.625,-143116.859375,329154.09375,1054150.25
2022-01-09,1737738.39,1434357.25,-303381.1399999999,1337659.25,-400079.1399999999,1227644.125,-510094.2649999999,1395704.125,-342034.2649999999,1445526.0,-292212.3899999999,1342660.0,-395078.3899999999,1309657.375,-428081.0149999999,1305668.5,-432069.8899999999,1157623.875,-580114.5149999999,,,,,,,,,,,,,,,-239342.0,-336040.09375,-446055.125,-277995.1875,-228173.28125,-331039.34375,-364041.84375,-368030.84375,-516075.46875,,,,,,,,395206.0,-104811.078125,329154.09375,1054150.25
