ds,y
2018-12-23,54468.46
2022-02-13,369840.87
2020-01-05,114746.34
2021-11-14,364495.28
2019-01-13,73429.06
2019-11-24,82129.32
2019-03-17,75440.65
2019-07-28,85823.48
2018-10-14,69961.01
2020-08-02,169691.81
2022-03-27,402034.14
2021-06-06,395188.5
2018-11-25,85947.56
2020-08-23,188799.65
2021-12-12,391275.69
2019-05-05,88622.86
2021-09-12,368153
2019-05-12,80332.02
2018-07-29,63621.1
2021-07-25,340727.46
2019-08-04,84043.01
2020-07-19,174739.8
2019-01-06,81070.24
2019-01-27,87730.4
2020-08-16,172412.44
2020-05-31,169494.31
2019-07-14,86928.89
2018-06-24,62365.91
2018-09-23,78762.79
2022-02-27,453137.35
2019-01-20,85971.56
2018-10-28,71371.22
2021-12-05,357861.23
2020-09-27,188897.5
2019-09-01,96445.5
2020-02-23,149975.22
2021-01-17,193265.94
2020-03-08,179722.46
2019-10-13,88258.15
2018-12-02,77580.94
2021-10-17,347868.59
2021-08-08,364344.9
2021-02-21,441816.47
2022-01-30,404888.86
2018-06-03,61339.4
2019-03-31,90316.65
2018-06-10,57002.04
2022-04-03,402602.59
2022-02-20,433649.95
2019-07-21,93775.8
2020-08-09,180848.05
2021-10-10,372302.49
2021-04-18,367018.06
2018-12-09,69220.75
2020-12-27,186477.06
2021-04-11,369628.77
2020-01-26,111311.68
2021-01-10,199034.34
2021-06-20,358808.99
2018-08-26,74250.22
2020-10-11,183194.88
2020-12-13,179458.29
2018-06-17,59817.82
2019-09-22,98784.39
2018-07-22,60496.37
2020-02-02,119009.24
2022-05-01,395438.32
2020-12-06,198671.71
2019-02-24,90408.98
2021-07-04,334413.84
2018-11-04,76110.24
2018-12-30,72470.4
2021-10-03,372867.15
2018-08-12,68311.87
2020-09-20,199199.77
2019-11-17,95321.24
2021-03-07,399361.88
2020-03-01,163115.66
2022-05-22,389889.17
2020-06-07,164773.29
2020-03-15,286695.11
2020-09-13,174378.36
2018-07-08,63860.64
2021-02-14,341052.38
2021-09-19,357231.76
2018-11-11,70174.1
2019-06-09,86398.76
2019-06-02,90221.57
2018-11-18,59475.76
2021-04-04,372087.04
2021-09-26,378675.78
2019-09-08,98820.34
2018-09-16,66496.14
2021-04-25,373355.64
2019-08-11,90056.18
2019-03-24,88447.01
2019-02-10,79431.81
2020-07-12,181641.07
2021-01-31,189872.6
2020-05-03,168658.76
2021-08-15,349716.38
2020-11-08,197430.8
2022-01-09,429860.9
2020-11-29,194750
2021-02-07,386022.19
2020-07-26,168708.76
2019-04-28,89371.06
2021-07-18,340534.16
2020-01-19,110023.05
2021-03-21,385349.38
2021-05-30,381526.04
2019-03-10,81888.2
2021-05-23,343529.09
2021-12-26,312519.94
2021-02-28,404755.33
2019-06-30,79351.21
2019-12-22,59511.8
2019-12-29,90817.72
2018-09-02,67457.87
2020-06-14,152383.93
2019-04-21,85210.24
2020-10-04,197369.6
2020-03-22,288207.4
2021-05-09,363652.07
2021-05-16,355091.63
2020-07-05,169570.89
2018-08-19,70376.74
2019-09-15,87434.38
2019-12-01,93247.1
2020-12-20,145769.56
2018-09-09,67863.99
2019-06-16,88857.62
2022-05-15,530679.34
2021-05-02,354788.84
2020-11-15,208585.24
2022-01-23,406165.46
2019-10-27,95413.55
2019-05-26,85589.05
2021-01-24,199261.45
2022-01-02,423071.5
2018-09-30,75149.87
2022-03-20,398951.23
2020-02-16,116514.18
2021-11-21,305581.86
2020-06-21,163573.22
2018-12-16,67009.65
2020-04-26,131042.65
2020-05-24,164778.91
2021-10-24,349803.48
2020-10-18,191236.52
2019-08-25,102005.72
2019-07-07,98066.94
2019-11-03,102072.96
2020-01-12,96511.09
2018-07-01,56737.36
2019-09-29,90936.79
2020-11-01,201505.77
2018-10-21,76844.79
2020-04-19,138800.92
2021-01-03,220301.89
2019-12-15,84752.21
2020-03-29,294121.25
2021-06-13,372735.53
2020-10-25,194636.15
2020-06-28,153294.48
2022-04-10,379950.6
2020-09-06,183949.06
2021-06-27,389898.66
2020-02-09,116725.67
2021-11-07,369397.03
2020-05-17,152243.75
2021-08-01,345475.27
2019-04-14,81145.17
2021-08-22,346870.95
2019-11-10,99029.28
2022-03-13,397240.8
2018-10-07,73307.28
2022-06-05,203715.11
2022-01-16,408314.78
2019-02-17,87225.94
2022-04-17,352023.22
2020-04-12,161768.9
2021-03-14,392365.32
2018-07-15,59405.38
2019-06-23,92668.92
2020-11-22,187519.63
2021-12-19,233659.81
2020-04-05,247751.56
2022-02-06,413347.16
2021-07-11,367556.74
2021-03-28,358554.68
2021-11-28,404142.22
2019-04-07,88881.54
2021-10-31,353826.79
2020-08-30,190582.24
2022-03-06,357531.3
2019-02-03,80980.98
2021-08-29,367837.68
2019-10-06,93129.19
2019-05-19,77136.66
2022-05-08,372168.06
2022-04-24,383094.82
2019-03-03,88547.79
2019-08-18,92143.53
2020-05-10,180268.43
2019-10-20,90702.78
2021-09-05,354623.81
2018-08-05,66581.91
2022-05-29,408844.14
2019-12-08,90942.13
