week,sales
2017-10-01,303.73
2017-10-01,61.14
2017-10-01,119.61
2017-10-01,845.43
2017-10-01,489.22
2017-10-01,222.88
2017-10-02,0
2017-10-02,0
2017-10-02,0
2017-10-02,64.65
2017-10-02,98.34
2017-10-02,0
2017-10-02,89.7
2017-10-02,574.1
2017-10-02,307.9
2017-10-02,0
2017-10-02,260.16
2017-10-03,71.25
2017-10-03,0
2017-10-03,76.77
2017-10-03,153.71
2017-10-04,119.72
2017-10-04,116.94
2017-10-04,39.9
2017-10-04,117.32
2017-10-05,118.56
2017-10-05,173.46
2017-10-05,130.36
2017-10-05,70.14
2017-10-06,178.46
2017-10-06,111.6
2017-10-06,32.26
2017-10-06,219
2017-10-07,37.43
2017-10-07,172.74
2017-10-07,122.66
2017-10-07,172.33
2017-10-08,59.46
2017-10-08,207.64
2017-10-08,82.02
2017-10-08,63.83
2017-10-09,106.53
2017-10-09,101.46
2017-10-09,28.68
2017-10-09,81.66
2017-10-10,43.16
2017-10-10,134.13
2017-10-10,35.84
2017-10-10,127.36
2017-10-11,87.52
2017-10-11,45.78
2017-10-11,71.4
2017-10-11,163.66
2017-10-12,53.96
2017-10-12,21.84
2017-10-12,72.01
2017-10-12,93.52
2017-10-13,14.34
2017-10-13,67.62
2017-10-13,21.98
2017-10-13,67.4
2017-10-14,138.44
2017-10-14,0
2017-10-14,39.9
2017-10-14,93.52
2017-10-15,80.11
2017-10-15,118.68
2017-10-15,26.74
2017-10-15,157.35
2017-10-16,0
2017-10-16,71.31
2017-10-16,107.52
2017-10-16,41.35
2017-10-17,73.4
2017-10-17,74.88
2017-10-17,81.33
2017-10-17,70.14
2017-10-18,64.57
2017-10-18,56.57
2017-10-18,176.92
2017-10-18,93.52
2017-10-19,115.95
2017-10-19,167.58
2017-10-19,45.9
2017-10-19,93.52
2017-10-20,30.78
2017-10-20,71.82
2017-10-20,23.94
2017-10-20,110.9
2017-10-21,162.35
2017-10-21,138.5
2017-10-21,128.14
2017-10-21,23.38
2017-10-22,158.11
2017-10-22,95.4
2017-10-22,37.26
2017-10-23,43.96
2017-10-23,191.04
2017-10-23,349.54
2017-10-23,0
2017-10-24,151.79
2017-10-24,214.86
2017-10-24,444.33
2017-10-24,0
2017-10-25,45.39
2017-10-25,238.68
2017-10-25,581.11
2017-10-26,64.53
2017-10-26,214.44
2017-10-26,68.01
2017-10-26,167.45
2017-10-26,0
2017-10-27,47.76
2017-10-27,88.45
2017-10-27,86.96
2017-10-28,21.84
2017-10-28,98.63
2017-10-28,22.05
2017-10-29,119.26
2017-10-29,174.33
2017-10-29,78.65
2017-10-30,47.72
2017-10-30,71.76
2017-10-30,86.27
2017-10-31,65.52
2017-10-31,80.78
2017-10-31,23.94
2017-11-01,0
2017-11-01,0
2017-11-01,0
2017-11-03,21.84
2017-11-03,305
2017-11-04,167.58
2017-11-04,304.8
2017-11-05,47.88
2017-11-05,640.85
2017-11-06,23.94
2017-11-06,395.73
2017-11-07,167.58
2017-11-07,469.56
2017-11-08,23.52
2017-11-08,375.27
2017-11-09,94.5
2017-11-09,380.74
2017-11-10,62.55
2017-11-10,297.84
2017-11-11,154.98
2017-11-11,342.67
2017-11-12,183.12
2017-11-12,360.38
2017-11-13,23.94
2017-11-13,320.4
2017-11-14,95.76
2017-11-14,425.95
2017-11-15,148.16
2017-11-15,395.98
2017-11-16,232.01
2017-11-16,482.49
2017-11-17,0
2017-11-17,355.17
2017-11-18,23.94
2017-11-18,307.39
2017-11-19,0
2017-11-19,387.3
2017-11-20,191.52
2017-11-20,352.07
2017-11-21,23.94
2017-11-21,291.64
2017-11-21,0
2017-11-22,94.44
2017-11-22,402.36
2017-11-22,22.62
2017-11-23,23.94
2017-11-23,147.31
2017-11-24,111.2
2017-11-24,411.32
2017-11-25,119.7
2017-11-25,419.31
2017-11-25,0
2017-11-26,23.94
2017-11-26,258.28
2017-11-26,28.61
2017-11-27,0
2017-11-27,0
2017-11-27,0
2017-11-28,0
2017-11-28,0
2017-11-28,0
2017-11-29,0
2017-11-29,0
2017-11-29,0
2017-11-30,0
2017-11-30,0
2017-11-30,0
2017-12-01,198.45
2017-12-01,436.62
2017-12-01,48.23
2017-12-02,163.95
2017-12-02,426.94
2017-12-02,28.61
2017-12-03,94.56
2017-12-03,423.38
2017-12-03,65.24
2017-12-04,119.67
2017-12-04,509.12
2017-12-04,110.2
2017-12-05,347.4
2017-12-05,506.86
2017-12-05,0
2017-12-06,142.58
2017-12-06,411.2
2017-12-06,14.44
2017-12-07,0
2017-12-07,0
2017-12-07,0
2017-12-07,0
2017-12-08,0
2017-12-08,0
2017-12-08,0
2017-12-08,0
2017-12-09,0
2017-12-09,0
2017-12-09,0
2017-12-09,0
2017-12-10,0
2017-12-10,0
2017-12-10,0
2017-12-10,0
2017-12-11,0
2017-12-11,0
2017-12-11,0
2017-12-11,0
2017-12-12,0
2017-12-12,0
2017-12-12,0
2017-12-12,0
2017-12-13,0
2017-12-13,0
2017-12-13,0
2017-12-13,0
2017-12-14,0
2017-12-14,0
2017-12-14,0
2017-12-14,0
2017-12-15,0
2017-12-15,0
2017-12-15,0
2017-12-15,0
2017-12-16,94.23
2017-12-16,0
2017-12-16,465.43
2017-12-16,106.86
2017-12-17,0
2017-12-17,0
2017-12-17,0
2017-12-17,0
2017-12-18,0
2017-12-18,0
2017-12-18,0
2017-12-18,0
2017-12-19,0
2017-12-19,0
2017-12-19,0
2017-12-19,0
2017-12-20,0
2017-12-20,0
2017-12-20,0
2017-12-20,0
2017-12-21,0
2017-12-21,0
2017-12-21,0
2017-12-21,0
2017-12-22,0
2017-12-22,0
2017-12-22,0
2017-12-22,0
2017-12-23,0
2017-12-23,0
2017-12-23,0
2017-12-23,0
2017-12-24,0
2017-12-24,0
2017-12-24,0
2017-12-24,0
2017-12-25,0
2017-12-25,0
2017-12-25,0
2017-12-25,0
2017-12-26,0
2017-12-26,0
2017-12-26,0
2017-12-26,0
2017-12-27,0
2017-12-27,0
2017-12-27,0
2017-12-27,0
2017-12-28,0
2017-12-28,0
2017-12-28,0
2017-12-28,0
2017-12-29,0
2017-12-29,0
2017-12-29,0
2017-12-29,0
2017-12-30,0
2017-12-30,0
2017-12-30,0
2017-12-30,0
2017-12-31,0
2017-12-31,0
2017-12-31,0
2017-12-31,0
2018-01-01,71.82
2018-01-01,9.15
2018-01-01,649.28
2018-01-01,45.86
2018-01-01,
2018-01-02,94.89
2018-01-02,0
2018-01-02,676.98
2018-01-02,91.72
2018-01-02,
2018-01-03,142.48
2018-01-03,0
2018-01-03,173.12
2018-01-03,46.72
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-06,
2018-01-07,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,212.21
2018-01-16,115.81
2018-01-16,93.23
2018-01-16,34.36
2018-01-16,176.09
2018-01-16,21.9
2018-01-16,395.56
2018-01-16,295.37
2018-01-16,177.92
2018-01-16,
2018-01-17,382.92
2018-01-17,173.92
2018-01-17,312.01
2018-01-17,125.91
2018-01-17,227.32
2018-01-17,0
2018-01-17,424.63
2018-01-17,388.56
2018-01-17,151.47
2018-01-17,
2018-01-18,273.43
2018-01-18,91.23
2018-01-18,77.22
2018-01-18,66.14
2018-01-18,322.82
2018-01-18,0
2018-01-18,498.34
2018-01-18,306.29
2018-01-18,81.82
2018-01-18,
2018-01-19,79.41
2018-01-19,198.1
2018-01-19,191.52
2018-01-19,47.38
2018-01-19,189.72
2018-01-19,0
2018-01-19,539.72
2018-01-19,347.68
2018-01-19,112.34
2018-01-19,
2018-01-20,221.27
2018-01-20,159.07
2018-01-20,95.76
2018-01-20,83.32
2018-01-20,125.48
2018-01-20,19.18
2018-01-20,409.34
2018-01-20,299.44
2018-01-20,239.37
2018-01-20,
2018-01-21,266.95
2018-01-21,109.67
2018-01-21,163.87
2018-01-21,34.36
2018-01-21,261.13
2018-01-21,38.36
2018-01-21,364.48
2018-01-21,241.88
2018-01-21,190.75
2018-01-21,
2018-01-22,247.05
2018-01-22,96.59
2018-01-22,212.98
2018-01-22,17.18
2018-01-22,279.07
2018-01-22,95.76
2018-01-22,364.48
2018-01-22,396.65
2018-01-22,157.34
2018-01-22,
2018-01-23,321.76
2018-01-23,191.3
2018-01-23,188.04
2018-01-23,48.96
2018-01-23,274.8
2018-01-23,38.36
2018-01-23,394.46
2018-01-23,337.61
2018-01-23,90.58
2018-01-23,
2018-01-24,322.38
2018-01-24,42.55
2018-01-24,163.42
2018-01-24,238.54
2018-01-24,17.18
2018-01-24,374.38
2018-01-24,9.15
2018-01-24,454.07
2018-01-24,286.57
2018-01-24,238.59
2018-01-24,
2018-01-25,283.96
2018-01-25,0
2018-01-25,271.99
2018-01-25,267.05
2018-01-25,38.97
2018-01-25,0
2018-01-25,41.88
2018-01-25,332.63
2018-01-25,31.78
2018-01-25,71.76
2018-01-25,0
2018-01-25,167.96
2018-01-25,258.56
2018-01-25,269.84
2018-01-25,
2018-01-26,246.81
2018-01-26,92.79
2018-01-26,269.37
2018-01-26,120.93
2018-01-26,51.89
2018-01-26,140.16
2018-01-26,197.72
2018-01-26,190.57
2018-01-26,203.02
2018-01-26,143.52
2018-01-26,19.18
2018-01-26,616.53
2018-01-26,335.82
2018-01-26,125.81
2018-01-26,
2018-01-27,81.17
2018-01-27,89.7
2018-01-27,220.41
2018-01-27,186.67
2018-01-27,90.79
2018-01-27,94.81
2018-01-27,129.13
2018-01-27,336.96
2018-01-27,83.04
2018-01-27,161.46
2018-01-27,38.36
2018-01-27,171.33
2018-01-27,140.93
2018-01-27,109.17
2018-01-27,
2018-01-28,130.05
2018-01-28,71.76
2018-01-28,137.61
2018-01-28,263.8
2018-01-28,77.8
2018-01-28,93.25
2018-01-28,106.5
2018-01-28,165.07
2018-01-28,51.54
2018-01-28,199.34
2018-01-28,0
2018-01-28,172.67
2018-01-28,113.2
2018-01-28,178.24
2018-01-28,
2018-01-29,35.97
2018-01-29,107.64
2018-01-29,107.68
2018-01-29,62.55
2018-01-29,194.79
2018-01-29,0
2018-01-29,39.94
2018-01-29,23.94
2018-01-29,0
2018-01-29,89.7
2018-01-29,23.94
2018-01-29,38.62
2018-01-29,75.51
2018-01-29,107.91
2018-01-29,
2018-01-30,44.35
2018-01-30,17.94
2018-01-30,0
2018-01-30,82.19
2018-01-30,0
2018-01-30,0
2018-01-30,75.53
2018-01-30,104.59
2018-01-30,0
2018-01-30,0
2018-01-30,0
2018-01-30,9.97
2018-01-30,62.59
2018-01-30,138.75
2018-01-30,
2018-01-31,0
2018-01-31,23.94
2018-01-31,29.28
2018-01-31,42.93
2018-01-31,111.62
2018-01-31,
2018-02-01,24.62
2018-02-01,114.07
2018-02-01,101.63
2018-02-01,51.6
2018-02-01,111.73
2018-02-01,
2018-02-02,69.24
2018-02-02,67.34
2018-02-02,19.94
2018-02-02,38.9
2018-02-02,38.62
2018-02-02,133.24
2018-02-02,0
2018-02-02,82.08
2018-02-02,134.16
2018-02-02,153.4
2018-02-02,59.4
2018-02-02,
2018-02-03,23.94
2018-02-03,162.75
2018-02-03,0
2018-02-03,12.92
2018-02-03,29.92
2018-02-03,47.43
2018-02-03,34.36
2018-02-03,184.14
2018-02-03,69.94
2018-02-03,105.78
2018-02-03,99.47
2018-02-03,
2018-02-04,23.08
2018-02-04,202.02
2018-02-04,19.94
2018-02-04,12.92
2018-02-04,63.93
2018-02-04,70.1
2018-02-04,74.33
2018-02-04,93.34
2018-02-04,71.2
2018-02-04,76.81
2018-02-04,100.47
2018-02-04,
2018-02-05,0
2018-02-05,58.34
2018-02-05,9.97
2018-02-05,25.98
2018-02-05,115.67
2018-02-05,23.94
2018-02-05,22.08
2018-02-05,110.42
2018-02-05,111.82
2018-02-05,30.96
2018-02-05,71.98
2018-02-05,
2018-02-06,0
2018-02-06,265.05
2018-02-06,0
2018-02-06,77.59
2018-02-06,24
2018-02-06,71.82
2018-02-06,0
2018-02-06,107.64
2018-02-06,79.76
2018-02-06,61.92
2018-02-06,45
2018-02-06,
2018-02-07,20.98
2018-02-07,248.86
2018-02-07,0
2018-02-07,12.92
2018-02-07,158.97
2018-02-07,140.68
2018-02-07,0
2018-02-07,143.52
2018-02-07,59.94
2018-02-07,126.82
2018-02-07,35.99
2018-02-07,
2018-02-08,20.98
2018-02-08,19.94
2018-02-08,0
2018-02-08,9.98
2018-02-08,49.91
2018-02-08,93.23
2018-02-08,0
2018-02-08,113.32
2018-02-08,146.2
2018-02-08,140.76
2018-02-08,0
2018-02-08,
2018-02-09,42.39
2018-02-09,204.73
2018-02-09,7.94
2018-02-09,12.99
2018-02-09,49.87
2018-02-09,47.88
2018-02-09,33.19
2018-02-09,51.76
2018-02-09,91.8
2018-02-09,53.25
