Date,Revenue
2019-11-02,10869728.99
2019-11-02,1474206.52
2019-11-02,758136.34
2019-11-02,716070.18
2019-11-02,1044736.47
2019-11-02,861473.13
2019-11-02,183263.34
2019-11-02,35409.56
2019-11-02,6888394.5
2019-11-02,6093866.78
2019-11-02,794527.73
2019-11-02,254850.23
2019-11-02,191458.05
2019-11-02,216423.4
2019-11-02,26938.51
2019-11-02,15664.45
2019-11-02,11274.06
2019-11-02,27591.97
2019-11-02,23181.6
2019-11-02,4410.37
2019-11-02,53.33
2019-11-02,150548.57
2019-11-02,131493.67
2019-11-02,19054.9
2019-11-02,6022.76
2019-11-02,10703.72
2019-11-02,112177.04
2019-11-02,9430.04
2019-11-02,5391.92
2019-11-02,4038.12
2019-11-02,15705.42
2019-11-02,13062.7
2019-11-02,2642.72
2019-11-02,84762.2
2019-11-02,79093.59
2019-11-02,5668.61
2019-11-02,2620.14
2019-11-02,2279.38
2019-11-02,188223.22
2019-11-02,18759.09
2019-11-02,10040.41
2019-11-02,8718.68
2019-11-02,22094.35
2019-11-02,18397.75
2019-11-02,3696.6
2019-11-02,141773.46
2019-11-02,127343.63
2019-11-02,14429.83
2019-11-02,8084.4
2019-11-02,5596.32
2019-11-02,120085.45
2019-11-02,11501.14
2019-11-02,5556.85
2019-11-02,5944.29
2019-11-02,18103.95
2019-11-02,14819.33
2019-11-02,3284.62
2019-11-02,3825.09
2019-11-02,86622.35
2019-11-02,79366.1
2019-11-02,7256.25
2019-11-02,1954.06
2019-11-02,
2019-11-02,152381.82
2019-11-02,23825.84
2019-11-02,11119.64
2019-11-02,12706.2
2019-11-02,27524.4
2019-11-02,22371.59
2019-11-02,5152.81
2019-11-02,17.77
2019-11-02,100980.77
2019-11-02,87387.74
2019-11-02,13593.03
2019-11-02,4510.44
2019-11-02,165710.18
2019-11-02,40341.6
2019-11-02,18233.5
2019-11-02,22108.1
2019-11-02,23818.69
2019-11-02,17976
2019-11-02,5842.69
2019-11-02,1.99
2019-11-02,101547.9
2019-11-02,87750.29
2019-11-02,13797.61
2019-11-02,4666.06
2019-11-02,926889.65
2019-11-02,134990.41
2019-11-02,70267.33
2019-11-02,64723.08
2019-11-02,76890.27
2019-11-02,55778.2
2019-11-02,21112.07
2019-11-02,665342.08
2019-11-02,609297.87
2019-11-02,56044.21
2019-11-02,35495.84
2019-11-02,43.7
2019-11-02,4596017.59
2019-11-02,720660.01
2019-11-02,389296
2019-11-02,331364.01
2019-11-02,496098.35
2019-11-02,444988.69
2019-11-02,51109.66
2019-11-02,7.35
2019-11-02,3193266.86
2019-11-02,2853615.84
2019-11-02,339651.02
2019-11-02,106775.01
2019-11-02,159401.15
2019-11-02,1123104.56
2019-11-02,206211.58
2019-11-02,90243.04
2019-11-02,115968.54
2019-11-02,103364.53
2019-11-02,67987.65
2019-11-02,35376.88
2019-11-02,5320.42
2019-11-02,779940.65
2019-11-02,647090.27
2019-11-02,132850.38
2019-11-02,26329.15
2019-11-02,417276.34
2019-11-02,86428.91
2019-11-02,38073.7
2019-11-02,48355.21
2019-11-02,3600.88
2019-11-02,3399.68
2019-11-02,201.2
2019-11-02,3046.02
2019-11-02,318365.29
2019-11-02,275149.66
2019-11-02,43215.63
2019-11-02,17578.09
2019-11-02,315449.95
2019-11-02,784689.09
2019-11-02,5370963.84
2019-11-02,1202520.29
2019-11-02,1048242.22
2019-11-02,486302.29
2019-11-02,88739.01
2019-11-02,29888.95
2019-11-02,3556680.15
2019-11-02,1208253.8
2019-11-02,1324291.1
2019-11-02,207914.01
2019-11-02,112576.23
2019-11-02,627478.99
2019-11-02,279827.66
2019-11-02,86717.97
2019-11-02,68282.46
2019-11-02,25595.04
2019-11-02,4313.34
2019-11-02,1245.67
2019-11-02,180134.32
2019-11-02,41289.59
2019-11-02,70653.13
2019-11-02,7710.48
2019-11-02,3736.21
2019-11-02,56809.59
2019-11-02,132743.45
2019-11-02,42980.57
2019-11-02,17184
2019-11-02,17683.06
2019-11-02,1715.64
2019-11-02,82513.13
2019-11-02,28782.96
2019-11-02,37949.39
2019-11-02,5846.53
2019-11-02,1397.53
2019-11-02,23581.87
2019-11-02,162144.01
2019-11-02,59483.71
2019-11-02,23198.47
2019-11-02,19297.5
2019-11-02,5842.72
2019-11-02,85631.68
2019-11-02,26975.56
2019-11-02,35529.27
2019-11-02,12712.36
2019-11-02,4244.64
2019-11-02,34343.49
2019-11-02,99579.58
2019-11-02,23792.92
2019-11-02,20455.35
2019-11-02,6607.72
2019-11-02,2619.58
2019-11-02,3778.41
2019-11-02,57311.86
2019-11-02,18875.58
2019-11-02,18089.88
2019-11-02,5118.5
2019-11-02,9481.63
2019-11-02,14565.62
2019-11-02,59541.99
2019-11-02,12186.02
2019-11-02,29006.58
2019-11-02,47294.12
2019-11-02,10959.71
2019-11-02,7368.52
2019-11-02,57790.41
2019-11-02,11764.2
2019-11-02,45915.68
2019-11-02,44642.6
2019-11-02,1383.61
2019-11-02,0
2019-11-02,526383.66
2019-11-02,167638.66
2019-11-02,63371.17
2019-11-02,45638.5
2019-11-02,19003.81
2019-11-02,329366.39
2019-11-02,96374.54
2019-11-02,172598.08
2019-11-02,21701.39
2019-11-02,2912.1
2019-11-02,102996.35
2019-11-02,1478955.83
2019-11-02,358852.8
2019-11-02,346925.67
2019-11-02,128627.62
2019-11-02,44563.57
2019-11-02,1037187.37
2019-11-02,241424.8
2019-11-02,458292.85
2019-11-02,73455.74
2019-11-02,9454.99
2019-11-02,185661.61
2019-11-02,221000.05
2019-11-02,31772.23
2019-11-02,49295.76
2019-11-02,182279
2019-11-02,64921.4
2019-11-02,74921.51
2019-11-02,83954.54
2019-11-02,13027.95
2019-11-02,311.91
2019-11-02,115.69
2019-11-02,70481.86
2019-11-02,51358.92
2019-11-02,18858.83
2019-11-02,127216.58
2019-11-02,61594.97
2019-11-02,422857.73
2019-11-02,38.9
2019-11-02,250417.3
2019-11-02,13275367.19
2019-11-02,2286708.5
2019-11-02,631924.45
2019-11-02,3460123.4
2019-11-02,92821.64
2019-11-02,874878.13
2019-11-02,1445989.66
2019-11-02,146843.91
2019-11-02,1978031.56
2019-11-02,417864.96
2019-11-02,51689.88
2019-11-02,22933.83
2019-11-02,101329.22
2019-11-02,11751.32
2019-11-02,56950.49
2019-11-02,11970.55
2019-11-02,58102.71
2019-11-02,255218.19
2019-11-02,28944
2019-11-02,12322.28
2019-11-02,55759.68
2019-11-02,1338.72
2019-11-02,15645.48
2019-11-02,47489.68
2019-11-02,8554.99
2019-11-02,56041.49
2019-11-02,342966.1
2019-11-02,39489.66
2019-11-02,13333.15
2019-11-02,103818.2
2019-11-02,7330.28
2019-11-02,38856.04
2019-11-02,4715.93
2019-11-02,47003.03
2019-11-02,355264.07
2019-11-02,66471.82
2019-11-02,11853.4
2019-11-02,72865.59
2019-11-02,9817.95
2019-11-02,38335.63
2019-11-02,5488.06
2019-11-02,46132.56
2019-11-02,330559.96
2019-11-02,35526.59
2019-11-02,1289.61
2019-11-02,140221.03
2019-11-02,10830.98
2019-11-02,26059.22
2019-11-02,26531.86
2019-11-02,346027.26
2019-11-02,27339.64
2019-11-02,9461.24
2019-11-02,146320.8
2019-11-02,10959.17
2019-11-02,1334.09
2019-11-02,19188.75
2019-11-02,23748.13
2019-11-02,740565.4
2019-11-02,148581.39
2019-11-02,17668.79
2019-11-02,220627.86
2019-11-02,32382.79
2019-11-02,106015.85
2019-11-02,132924.26
2019-11-02,4538979.86
2019-11-02,905150.68
2019-11-02,252194.99
2019-11-02,1194826.94
2019-11-02,30290.74
2019-11-02,415053.84
2019-11-02,473626.35
2019-11-02,66707.9
2019-11-02,839187.09
2019-11-02,1063531.18
2019-11-02,315169.49
2019-11-02,92109.47
2019-11-02,304921.54
2019-11-02,37170.32
2019-11-02,40695.03
2019-11-02,132714.16
2019-11-02,132930.71
2019-11-02,729281.52
2019-11-02,207783.86
2019-11-02,60408.75
2019-11-02,219510.01
2019-11-02,27734.67
2019-11-02,67416.93
2019-11-02,102245.53
2019-11-02,420262.14
2019-11-02,35781.29
2019-11-02,180022.31
2019-11-02,756110.82
2019-11-02,15.44
2019-11-09,10678426.76
2019-11-09,1389473.97
2019-11-09,732785
2019-11-09,656688.98
2019-11-09,1261421.53
2019-11-09,1076152.18
2019-11-09,185269.35
2019-11-09,33116.05
2019-11-09,6612744.36
2019-11-09,5857080.99
2019-11-09,755663.37
2019-11-09,244860.09
2019-11-09,193331.71
2019-11-09,229587.57
2019-11-09,27634.68
2019-11-09,16336.46
2019-11-09,11298.22
2019-11-09,30252.25
2019-11-09,25560.61
2019-11-09,4691.64
2019-11-09,60.27
2019-11-09,159692.73
2019-11-09,138990.26
2019-11-09,20702.47
2019-11-09,6253.71
2019-11-09,11408.57
2019-11-09,90572.15
2019-11-09,8707.78
2019-11-09,5334.79
2019-11-09,3372.99
2019-11-09,15916.73
2019-11-09,12952.67
2019-11-09,2964.06
2019-11-09,63573.5
2019-11-09,58869.97
2019-11-09,4703.53
