Date,Sales
2017-10-02,3547.24
2017-10-09,1913.53
2017-10-16,2186.51
2017-10-23,2237.86
2017-10-30,2790.74
2017-11-06,475.18
2017-11-13,1588.26
2017-11-20,2117.58
2017-11-27,667.87
2017-12-04,756.9
2017-12-11,254.03
2017-12-18,0.0
2017-12-25,0.0
2018-01-01,2070.71
2018-01-08,2847.55
2018-01-15,2943.86
2018-01-22,1792.08
2018-01-29,1574.66
2018-02-05,2485.29
2018-02-12,2042.27
2018-02-19,1916.98
2018-02-26,1689.61
2018-03-05,1871.98
2018-03-12,1552.2
2018-03-19,1673.58
2018-03-26,1735.92
2018-04-02,1138.56
2018-04-09,963.42
2018-04-16,1107.76
2018-04-23,1266.69
2018-04-30,1102.54
2018-05-07,2185.08
2018-05-14,2015.46
2018-05-21,1494.77
2018-05-28,1807.07
2018-06-04,1767.31
2018-06-11,1398.8
2018-06-18,1269.06
2018-06-25,1811.08
2018-07-02,3891.61
2018-07-09,3053.2200000000003
2018-07-16,2447.47
2018-07-23,3393.7599999999998
2018-07-30,4064.53
2018-08-06,3231.53
2018-08-13,3162.18
2018-08-20,2142.54
2018-08-27,1652.43
2018-09-03,2502.44
2018-09-10,3382.99
2018-09-17,2429.02
2018-09-24,2363.47
2018-10-01,2525.5
2018-10-08,1808.96
2018-10-15,1775.35
2018-10-22,2004.08
2018-10-29,1621.92
2018-11-05,2023.77
2018-11-12,1847.33
2018-11-19,1790.98
2018-11-26,4156.5599999999995
2018-12-03,2147.97
2018-12-10,2154.2799999999997
2018-12-17,1124.57
2018-12-24,576.71
2018-12-31,1042.46
2019-01-07,1783.76
2019-01-14,4938.73
2019-01-21,2777.66
2019-01-28,1363.0
2019-02-04,2516.47
2019-02-11,2171.6
2019-02-18,3173.71
2019-02-25,1784.63
2019-03-04,2188.6800000000003
2019-03-11,3112.29
2019-03-18,1666.73
2019-03-25,3109.85
2019-04-01,2516.41
2019-04-08,2245.26
2019-04-15,1666.41
2019-04-22,2460.72
2019-04-29,3436.4
2019-05-06,3054.74
2019-05-13,2597.12
2019-05-20,2304.66
2019-05-27,1802.06
2019-06-03,2180.98
2019-06-10,1939.94
2019-06-17,1919.39
2019-06-24,2175.02
2019-07-01,1725.3899999999999
2019-07-08,1411.71
2019-07-15,1790.38
2019-07-22,1668.3799999999999
2019-07-29,1389.53
2019-08-05,2228.36
2019-08-12,1691.31
2019-08-19,2702.35
2019-08-26,2003.48
2019-09-02,2748.9
2019-09-09,2500.52
2019-09-16,2898.61
2019-09-23,2879.3
2019-09-30,2656.9900000000002
2019-10-07,4111.77
2019-10-14,2468.14
2019-10-21,2137.75
2019-10-28,3677.43
2019-11-04,3080.37
2019-11-11,2740.27
2019-11-18,3062.4
2019-11-25,1057.4
2019-12-02,2754.73
2019-12-09,3592.94
2019-12-16,2557.59
2019-12-23,3736.76
2019-12-30,4734.56
2020-01-06,4830.34
2020-01-13,4133.52
2020-01-20,4521.58
2020-01-27,3596.4
2020-02-03,4079.24
2020-02-10,4575.88
2020-02-17,4459.25
2020-02-24,4238.94
2020-03-02,5518.93
2020-03-09,6052.44
2020-03-16,9012.59
2020-03-23,4721.74
2020-03-30,5621.8
2020-04-06,7782.57
2020-04-13,7107.53
2020-04-20,6308.42
2020-04-27,4558.6
2020-05-04,6490.02
2020-05-11,8210.78
2020-05-18,6840.75
2020-05-25,5484.67
2020-06-01,6583.62
2020-06-08,7436.07
2020-06-15,7740.42
2020-06-22,9128.6
2020-06-29,8652.09
2020-07-06,10312.98
2020-07-13,9983.84
2020-07-20,10053.86
2020-07-27,2983.33
2020-08-03,10704.56
2020-08-10,9407.2
2020-08-17,11290.94
2020-08-24,9885.92
2020-08-31,9719.67
