Date,Week_Number,Year,Sales
2017-10-02,40,2017,4042.4100000000003
2017-10-09,41,2017,2094.59
2017-10-16,42,2017,2315.04
2017-10-23,43,2017,3513.06
2017-10-30,44,2017,1863.94
2017-11-06,45,2017,3332.38
2017-11-13,46,2017,3198.49
2017-11-20,47,2017,2922.2
2017-11-27,48,2017,1885.98
2017-12-04,49,2017,2161.47
2017-12-11,50,2017,666.52
2017-12-18,51,2017,0.0
2017-12-25,52,2017,0.0
2018-01-01,1,2018,2002.02
2018-01-08,2,2018,0.0
2018-01-15,3,2018,10456.03
2018-01-22,4,2018,14385.06
2018-01-29,5,2018,4430.63
2018-02-05,6,2018,5011.7
2018-02-12,7,2018,4497.67
2018-02-19,8,2018,4535.22
2018-02-26,9,2018,3958.76
2018-03-05,10,2018,3612.96
2018-03-12,11,2018,3527.22
2018-03-19,12,2018,4952.74
2018-03-26,13,2018,4068.21
2018-04-02,14,2018,4462.42
2018-04-09,15,2018,4863.85
2018-04-16,16,2018,4857.25
2018-04-23,17,2018,4591.09
2018-04-30,18,2018,5257.95
2018-05-07,19,2018,6353.72
2018-05-14,20,2018,6046.41
2018-05-21,21,2018,7439.08
2018-05-28,22,2018,6036.82
2018-06-04,23,2018,6579.2300000000005
2018-06-11,24,2018,4821.99
2018-06-18,25,2018,7407.72
2018-06-25,26,2018,6847.21
2018-07-02,27,2018,7007.53
2018-07-09,28,2018,6269.64
2018-07-16,29,2018,7019.55
2018-07-23,30,2018,3818.28
2018-07-30,31,2018,3528.16
2018-08-06,32,2018,7459.5
2018-08-13,33,2018,12619.49
2018-08-20,34,2018,8462.72
2018-08-27,35,2018,8844.06
2018-09-03,36,2018,13093.12
2018-09-10,37,2018,10441.26
2018-09-17,38,2018,7401.34
2018-09-24,39,2018,6093.22
2018-10-01,40,2018,8140.08
2018-10-08,41,2018,11765.960000000001
2018-10-15,42,2018,21816.74
2018-10-22,43,2018,23521.79
2018-10-29,44,2018,19489.41
2018-11-05,45,2018,26969.53
2018-11-12,46,2018,21871.93
2018-11-19,47,2018,23590.04
2018-11-26,48,2018,23626.28
2018-12-03,49,2018,19173.95
2018-12-10,50,2018,15190.79
2018-12-17,51,2018,12584.06
2018-12-24,52,2018,10666.37
2018-12-31,1,2019,16222.19
2019-01-07,2,2019,17376.18
2019-01-14,3,2019,20803.19
2019-01-21,4,2019,16866.68
2019-01-28,5,2019,15239.52
2019-02-04,6,2019,24121.4
2019-02-11,7,2019,26879.97
2019-02-18,8,2019,27402.17
2019-02-25,9,2019,20183.329999999998
2019-03-04,10,2019,24026.72
2019-03-11,11,2019,22920.38
2019-03-18,12,2019,21597.79
2019-03-25,13,2019,20928.84
2019-04-01,14,2019,21819.27
2019-04-08,15,2019,21678.17
2019-04-15,16,2019,21243.04
2019-04-22,17,2019,21170.35
2019-04-29,18,2019,20197.27
2019-05-06,19,2019,19756.72
2019-05-13,20,2019,17709.82
2019-05-20,21,2019,17153.75
2019-05-27,22,2019,23388.3
2019-06-03,23,2019,19969.96
2019-06-10,24,2019,20565.24
2019-06-17,25,2019,37365.72
2019-06-24,26,2019,50552.15
2019-07-01,27,2019,32743.97
2019-07-08,28,2019,30152.260000000002
2019-07-15,29,2019,24891.35
2019-07-22,30,2019,22861.46
2019-07-29,31,2019,21593.35
2019-08-05,32,2019,27472.48
2019-08-12,33,2019,73269.9
2019-08-19,34,2019,103040.91
2019-08-26,35,2019,32255.23
2019-09-02,36,2019,39029.62
2019-09-09,37,2019,45855.14
2019-09-16,38,2019,85085.05
2019-09-23,39,2019,54425.18
2019-09-30,40,2019,36577.07
2019-10-07,41,2019,40235.62
2019-10-14,42,2019,69818.78
2019-10-21,43,2019,85231.71
2019-10-28,44,2019,80409.38
2019-11-04,45,2019,77615.93000000001
2019-11-11,46,2019,74372.27
2019-11-18,47,2019,66149.81
2019-11-25,48,2019,51823.48
2019-12-02,49,2019,61430.28
2019-12-09,50,2019,64075.72
2019-12-16,51,2019,59586.57
2019-12-23,52,2019,51189.85
2019-12-30,1,2020,75953.94
2020-01-06,2,2020,81364.94
2020-01-13,3,2020,89701.27
2020-01-20,4,2020,82036.13
2020-01-27,5,2020,46886.33
2020-02-03,6,2020,56853.9
2020-02-10,7,2020,60282.29
2020-02-17,8,2020,64870.57
2020-02-24,9,2020,78829.62
2020-03-02,10,2020,93210.58
2020-03-09,11,2020,113585.43
2020-03-16,12,2020,101472.35
2020-03-23,13,2020,110687.13
2020-03-30,14,2020,103406.62
2020-04-06,15,2020,60801.26
2020-04-13,16,2020,79927.98
2020-04-20,17,2020,72742.2
2020-04-27,18,2020,88447.88
2020-05-04,19,2020,78553.89
2020-05-11,20,2020,77952.52
2020-05-18,21,2020,61474.9
2020-05-25,22,2020,54717.43
2020-06-01,23,2020,57461.44
2020-06-08,24,2020,68949.24
2020-06-15,25,2020,79152.3
2020-06-22,26,2020,109404.8
2020-06-29,27,2020,72744.1
2020-07-06,28,2020,71781.05
2020-07-13,29,2020,79208.21
2020-07-20,30,2020,80078.46
2020-07-27,31,2020,79045.62
2020-08-03,32,2020,86248.65
2020-08-10,33,2020,80739.5
2020-08-17,34,2020,97485.0
2020-08-24,35,2020,81434.63
2020-08-31,36,2020,95811.06
2020-09-07,37,2020,99529.07
2020-09-14,38,2020,94589.44
2020-09-21,39,2020,106887.98
2020-09-28,40,2020,126266.54
2020-10-05,41,2020,105852.36
2020-10-12,42,2020,107373.45
2020-10-19,43,2020,98698.42
2020-10-26,44,2020,70875.49
2020-11-02,45,2020,83010.87
2020-11-09,46,2020,118305.83
2020-11-16,47,2020,111402.39
2020-11-23,48,2020,111423.37
2020-11-30,49,2020,114472.88
2020-12-07,50,2020,92143.91
2020-12-14,51,2020,74548.66
2020-12-21,52,2020,71138.36
2020-12-28,53,2020,86537.55
2021-01-04,1,2021,111172.6
2021-01-11,2,2021,114082.56
2021-01-18,3,2021,118165.58
2021-01-25,4,2021,120264.09
2021-02-01,5,2021,105459.22
2021-02-08,6,2021,94750.37
2021-02-15,7,2021,97919.84
2021-02-22,8,2021,98168.1
2021-03-01,9,2021,102699.17
2021-03-08,10,2021,97813.95
2021-03-15,11,2021,98986.64
2021-03-22,12,2021,92361.9
2021-03-29,13,2021,82911.03
2021-04-05,14,2021,79752.7
2021-04-12,15,2021,94543.79
2021-04-19,16,2021,103169.16
2021-04-26,17,2021,14728.199999999999
2021-05-03,18,2021,77255.8
2021-05-10,19,2021,84935.28
2021-05-17,20,2021,75768.86
2021-05-24,21,2021,72161.71
2021-05-31,22,2021,74341.94
2021-06-07,23,2021,69814.82
2021-06-14,24,2021,72836.65
2021-06-21,25,2021,79916.05
2021-06-28,26,2021,75351.57
2021-07-05,27,2021,63491.34
2021-07-12,28,2021,65899.47
2021-07-19,29,2021,64356.04
2021-07-26,30,2021,66686.14
2021-08-02,31,2021,84901.94
2021-08-09,32,2021,83124.76
2021-08-16,33,2021,79952.49
2021-08-23,34,2021,73519.74
2021-08-30,35,2021,63624.18
2021-09-06,36,2021,75451.03
2021-09-13,37,2021,76296.93
2021-09-20,38,2021,74263.76
2021-09-27,39,2021,75582.22
2021-10-04,40,2021,74332.48
2021-10-11,41,2021,78185.19
2021-10-18,42,2021,74962.36
2021-10-25,43,2021,81094.27
2021-11-01,44,2021,102588.14
2021-11-08,45,2021,83209.08
2021-11-15,46,2021,92033.76
2021-11-22,47,2021,68180.34
2021-11-29,48,2021,78197.25
2021-12-06,49,2021,82733.66
2021-12-13,50,2021,78917.56999999999
2021-12-20,51,2021,68811.71
2021-12-27,52,2021,77907.6
2022-01-03,1,2022,112726.3
2022-01-10,2,2022,98282.86
2022-01-17,3,2022,83957.41
2022-01-24,4,2022,37562.25
2022-01-31,5,2022,62702.52
2022-02-07,6,2022,65433.09
2022-02-14,7,2022,72467.29
2022-02-21,8,2022,75012.99
2022-02-28,9,2022,49423.72
2022-03-07,10,2022,45003.17
2022-03-14,11,2022,47425.450000000004
2022-03-21,12,2022,49462.39
2022-03-28,13,2022,47990.85
2022-04-04,14,2022,60566.35
2022-04-11,15,2022,56231.33
2022-04-18,16,2022,61582.97
2022-04-25,17,2022,57465.88
2022-05-02,18,2022,61015.23
2022-05-09,19,2022,71840.44
2022-05-16,20,2022,66974.34
2022-05-23,21,2022,49237.67
2022-05-30,22,2022,54620.020000000004
2022-06-06,23,2022,71910.69
2022-06-13,24,2022,70790.42
2022-06-20,25,2022,66266.64
2022-06-27,26,2022,31572.68
2022-07-04,27,2022,60761.82
2022-07-11,28,2022,77894.49
2022-07-18,29,2022,62092.9
2022-07-25,30,2022,24344.62
2022-08-01,31,2022,38820.1
2022-08-08,32,2022,61423.64
2022-08-15,33,2022,77083.27
2022-08-22,34,2022,88778.03
2022-08-29,35,2022,68264.63
2022-09-05,36,2022,77840.6
2022-09-12,37,2022,69323.44
