client_name,brand_name,week,campaign_type,primary_search_strategy,spend,impressions,clicks,attributed_sales,sales
KIND,KIND,1/31/2021,sponsoredBrands,Branded,6658.83,306608,2448,19079.06,890866.78
KIND,KIND,1/31/2021,sponsoredBrands,Category,2228.18,207500,254,1269.88,890866.78
KIND,KIND,1/31/2021,sponsoredBrands,Competitive,0,0,0,0,890866.78
KIND,KIND,1/31/2021,sponsoredBrands,Uncategorized,0,0,0,0,890866.78
KIND,KIND,1/31/2021,sponsoredBrandsVideo,Branded,0,0,0,0,890866.78
KIND,KIND,1/31/2021,sponsoredBrandsVideo,Category,0,0,0,0,890866.78
KIND,KIND,1/31/2021,sponsoredBrandsVideo,Competitive,0,0,0,0,890866.78
KIND,KIND,1/31/2021,sponsoredProducts,Auto,6772.84,4071173,3006,11918.84,890866.78
KIND,KIND,1/31/2021,sponsoredProducts,Branded,11297.69,1082415,4638,33642.9,890866.78
KIND,KIND,1/31/2021,sponsoredProducts,Category,6688.09,1191497,2529,7523.96,890866.78
KIND,KIND,1/31/2021,sponsoredProducts,Competitive,66.4,27877,60,294.02,890866.78
KIND,KIND,11/22/2020,sponsoredBrands,Branded,1921.19,140083,866,5836.04,806647.49
KIND,KIND,11/22/2020,sponsoredBrands,Category,11340.6,2025909,1556,2808.37,806647.49
KIND,KIND,11/22/2020,sponsoredBrands,Competitive,0,0,0,0,806647.49
KIND,KIND,11/22/2020,sponsoredBrands,Uncategorized,0,0,0,0,806647.49
KIND,KIND,11/22/2020,sponsoredBrandsVideo,Branded,0,0,0,0,806647.49
KIND,KIND,11/22/2020,sponsoredBrandsVideo,Category,0,0,0,0,806647.49
KIND,KIND,11/22/2020,sponsoredBrandsVideo,Competitive,0,0,0,0,806647.49
KIND,KIND,11/22/2020,sponsoredProducts,Auto,2123.59,1844472,937,3754.39,806647.49
KIND,KIND,11/22/2020,sponsoredProducts,Branded,9078.53,1550696,3359,24465.19,806647.49
KIND,KIND,11/22/2020,sponsoredProducts,Category,12020.86,2432221,2806,10423.62,806647.49
KIND,KIND,11/22/2020,sponsoredProducts,Competitive,43.64,34370,35,59.4,806647.49
Nature's Path,Nature's Path,12/23/2018,sponsoredProducts,Auto,122.43,205025,159,247.7,54468.46
Nature's Path,Nature's Path,12/23/2018,sponsoredProducts,Branded,601.29,84971,472,4340.89,54468.46
Nature's Path,Nature's Path,12/23/2018,sponsoredProducts,Category,4111.22,650410,1628,4756.53,54468.46
Nature's Path,Nature's Path,12/23/2018,sponsoredProducts,Competitive,150.89,36851,69,106.39,54468.46
Nature's Path,Nature's Path,2/13/2022,sponsoredBrands,Branded,203.04,6765,119,827.94,369840.87
Nature's Path,Nature's Path,2/13/2022,sponsoredBrands,Category,53,11554,39,292.72,369840.87
Nature's Path,Nature's Path,2/13/2022,sponsoredBrandsVideo,Branded,0,0,0,0,369840.87
Nature's Path,Nature's Path,2/13/2022,sponsoredProducts,Auto,134,83412,155,736.59,369840.87
Nature's Path,Nature's Path,2/13/2022,sponsoredProducts,Branded,192.17,74505,175,1774.23,369840.87
